Query,RetrievedDocuments
50011.query,VOM19980623.0900.0051 VOM19980619.0900.0136 VOM19980317.0700.0156 VOM19980627.0730.0001 VOM19980303.0700.0590 VOM19980415.0900.0057 VOM19980317.0700.3639 VOM19980604.0700.0039 VOM19980627.0700.0022 VOM19980319.0700.0108 
50012.query,VOM19980618.0700.0114 VOM19980403.0900.0619 VOM19980619.0900.0076 VOM19980303.0700.0590 VOM19980620.0730.0003 VOM19980619.0730.0076 VOM19980621.0730.0001 VOM19980621.0700.0052 VOM19980305.0900.1736 VOM19980403.0900.2079 
50013.query,VOM19980616.0900.0137 VOM19980616.0730.0001 VOM19980505.0700.0438 VOM19980228.0700.1861 VOM19980501.0700.0556 VOM19980228.0700.0232 VOM19980314.0700.3190 VOM19980617.0900.0112 VOM19980616.0700.0045 VOM19980627.0700.0572 
50014.query,VOM19980630.0700.0457 VOM19980618.0700.0542 VOM19980618.0700.0076 VOM19980618.0700.0076 VOM19980610.0700.0551 VOM19980611.0700.0548 VOM19980617.0700.0554 VOM19980624.0700.0546 VOM19980526.0730.0266 VOM19980603.0700.0545 
50015.query,VOM19980302.0700.1233 VOM19980220.0700.0166 VOM19980220.0700.0166 VOM19980220.0700.0166 VOM19980220.0700.0166 VOM19980220.0700.0166 VOM19980220.0700.0166 VOM19980220.0700.0166 VOM19980220.0700.0166 VOM19980220.0700.0166 
50016.query,VOM19980225.0900.0458 VOM19980521.0900.0254 VOM19980610.0730.0140 VOM19980624.0900.0261 VOM19980302.0900.0368 VOM19980604.0900.0246 VOM19980316.0700.0649 VOM19980325.0900.0356 VOM19980527.0730.0233 VOM19980520.0900.0248 
50017.query,VOM19980314.0700.0199 VOM19980314.0700.0199 VOM19980302.0900.0510 VOM19980302.0700.2840 VOM19980319.0700.0352 VOM19980527.0700.0042 VOM19980302.0700.1233 VOM19980521.0700.0039 VOM19980303.0900.1975 VOM19980228.0700.1896 
50018.query,VOM19980527.0700.0163 VOM19980527.0730.0079 VOM19980603.0700.0169 VOM19980404.0700.1788 VOM19980314.0700.1976 VOM19980314.0700.0307 VOM19980305.0900.1736 VOM19980509.0700.0187 VOM19980326.0700.0480 VOM19980503.0730.0067 
50019.query,VOM19980511.0900.0097 VOM19980526.0730.0098 VOM19980416.0900.0055 VOM19980526.0700.0245 VOM19980526.0900.0153 VOM19980524.0700.0265 VOM19980524.0700.0265 VOM19980225.0900.2154 VOM19980527.0900.0155 VOM19980527.0730.0152 
50020.query,VOM19980630.0700.0238 VOM19980630.0700.0238 VOM19980630.0900.0105 VOM19980528.0900.0106 VOM19980526.0730.0065 VOM19980604.0700.0157 VOM19980604.0730.0077 VOM19980527.0700.0163 VOM19980527.0730.0079 VOM19980302.0900.0670 
50021.query,VOM19980223.0700.0765 VOM19980317.0900.0152 VOM19980317.0900.1955 VOM19980326.0700.0452 VOM19980326.0900.0118 VOM19980314.0700.0164 VOM19980314.0700.0164 VOM19980317.0700.3639 VOM19980611.0900.0110 VOM19980611.0700.0150 
50022.query,VOM19980221.0700.2442 VOM19980630.0730.0002 VOM19980630.0900.0005 VOM19980630.0700.0032 VOM19980312.0900.3403 VOM19980312.0900.0230 VOM19980326.0900.0371 VOM19980528.0900.0135 VOM19980617.0700.0304 VOM19980617.0700.0304 
50023.query,VOM19980604.0900.0246 VOM19980618.0730.0119 VOM19980430.0900.0231 VOM19980415.0900.0272 VOM19980624.0900.0261 VOM19980225.0900.2154 VOM19980317.0700.0510 VOM19980225.0900.0458 VOM19980303.0700.0696 VOM19980325.0900.0356 
50024.query,VOM19980619.0900.0136 VOM19980619.0730.0137 VOM19980619.0700.0347 VOM19980604.0700.0126 VOM19980604.0700.0039 VOM19980414.0900.0040 VOM19980430.0900.0149 VOM19980624.0730.0175 VOM19980319.0900.1922 VOM19980416.0900.0132 
50025.query,VOM19980630.0730.0002 VOM19980630.0900.0005 VOM19980630.0700.0032 VOM19980528.0900.0135 VOM19980326.0900.0371 VOM19980617.0700.0304 VOM19980617.0700.0304 VOM19980617.0900.0007 VOM19980311.0700.0471 VOM19980220.0900.1197 
50026.query,VOM19980605.0700.0560 VOM19980529.0900.0243 VOM19980529.0730.0209 VOM19980302.0900.0510 VOM19980521.0700.0427 VOM19980604.0700.0458 VOM19980502.0730.0270 VOM19980605.0700.0528 VOM19980623.0730.0140 VOM19980627.0700.0466 
50027.query,VOM19980319.0700.0352 VOM19980305.0900.1736 VOM19980527.0700.0042 VOM19980303.0900.1975 VOM19980225.0900.2949 VOM19980326.0700.0480 VOM19980521.0700.0039 VOM19980624.0700.0158 VOM19980625.0730.0124 VOM19980303.0700.0393 
50028.query,VOM19980510.0730.0142 VOM19980604.0730.0077 VOM19980531.0730.0076 VOM19980604.0700.0157 VOM19980531.0700.0235 VOM19980312.0900.3403 VOM19980604.0700.0126 VOM19980630.0700.0238 VOM19980630.0700.0238 VOM19980630.0900.0105 
50029.query,VOM19980505.0700.0384 VOM19980325.0900.3063 VOM19980317.0900.0330 VOM19980509.0700.0447 VOM19980312.0900.1930 VOM19980527.0900.0260 VOM19980311.0700.0471 VOM19980226.0900.0322 VOM19980530.0700.0318 VOM19980530.0700.0318 
50030.query,VOM19980317.0900.3350 VOM19980317.0900.2028 VOM19980524.0730.0085 VOM19980524.0700.0301 VOM19980613.0700.0546 VOM19980626.0900.0007 VOM19980316.0900.0202 VOM19980612.0730.0286 VOM19980317.0900.3386 VOM19980222.0700.1908 
50031.query,VOM19980623.0900.0051 VOM19980509.0700.0043 VOM19980511.0730.0066 VOM19980403.0700.0727 VOM19980225.0900.0714 VOM19980511.0900.0039 VOM19980414.0900.0137 VOM19980606.0700.0460 VOM19980528.0900.0135 VOM19980404.0700.0676 
50032.query,VOM19980616.0730.0180 VOM19980616.0900.0100 VOM19980403.0900.0619 VOM19980618.0700.0187 VOM19980530.0730.0101 VOM19980312.0900.0825 VOM19980507.0900.0113 VOM19980507.0700.0390 VOM19980507.0730.0143 VOM19980530.0700.0199 
50033.query,VOM19980619.0900.0136 VOM19980416.0900.0132 VOM19980619.0730.0137 VOM19980623.0900.0051 VOM19980317.0700.0156 VOM19980627.0730.0001 VOM19980627.0700.0022 VOM19980520.0700.0476 VOM19980505.0900.0146 VOM19980628.0700.0355 
50034.query,VOM19980511.0700.0543 VOM19980222.0700.0909 VOM19980523.0730.0114 VOM19980304.0900.0276 VOM19980304.0700.0304 VOM19980523.0700.0247 VOM19980221.0700.2025 VOM19980314.0700.0818 VOM19980224.0900.0912 VOM19980225.0900.0872 
50035.query,VOM19980618.0700.0114 VOM19980403.0700.1459 VOM19980220.0700.1159 VOM19980619.0900.0076 VOM19980303.0700.0590 VOM19980620.0730.0003 VOM19980619.0730.0076 VOM19980621.0730.0001 VOM19980610.0730.0260 VOM19980621.0700.0052 
50036.query,VOM19980316.0900.2774 VOM19980403.0900.0619 VOM19980225.0900.2949 VOM19980616.0730.0180 VOM19980616.0900.0100 VOM19980316.0900.2076 VOM19980526.0730.0266 VOM19980305.0900.1736 VOM19980220.0700.1159 VOM19980225.0900.0714 
50037.query,VOM19980511.0730.0066 VOM19980502.0730.0081 VOM19980511.0900.0039 VOM19980628.0730.0026 VOM19980428.0900.0080 VOM19980502.0700.0149 VOM19980225.0900.2949 VOM19980625.0730.0090 VOM19980404.0700.1061 VOM19980327.0900.1545 
50038.query,VOM19980302.0700.1233 VOM19980515.0730.0248 VOM19980404.0700.1061 VOM19980628.0730.0026 VOM19980515.0700.0434 VOM19980502.0730.0081 VOM19980509.0700.0043 VOM19980228.0700.0327 VOM19980507.0730.0143 VOM19980507.0700.0390 
50039.query,VOM19980527.0700.0042 VOM19980521.0700.0039 VOM19980228.0700.1896 VOM19980521.0730.0004 VOM19980521.0730.0004 VOM19980625.0700.0205 VOM19980319.0700.0352 VOM19980303.0700.1291 VOM19980613.0700.0546 VOM19980507.0730.0263 
50040.query,VOM19980302.0700.1233 VOM19980220.0700.0166 VOM19980220.0700.0166 VOM19980220.0700.0166 VOM19980220.0700.0166 VOM19980220.0700.0166 VOM19980220.0700.0166 VOM19980220.0700.0166 VOM19980220.0700.0166 VOM19980220.0700.0166 
50041.query,VOM19980403.0900.0124 VOM19980225.0900.2949 VOM19980222.0700.0302 VOM19980507.0700.0390 VOM19980507.0730.0143 VOM19980305.0900.1736 VOM19980319.0700.0399 VOM19980404.0700.1061 VOM19980627.0730.0001 VOM19980511.0700.0105 
50042.query,VOM19980616.0900.0137 VOM19980616.0730.0001 VOM19980505.0700.0438 VOM19980228.0700.1861 VOM19980501.0700.0556 VOM19980228.0700.0232 VOM19980314.0700.3190 VOM19980617.0900.0112 VOM19980616.0700.0045 VOM19980627.0700.0572 
50043.query,VOM19980611.0700.0548 VOM19980610.0700.0551 VOM19980618.0700.0542 VOM19980602.0700.0547 VOM19980617.0700.0554 VOM19980617.0900.0206 VOM19980616.0700.0538 VOM19980315.0700.1310 VOM19980319.0700.0678 VOM19980609.0700.0520 
50044.query,VOM19980619.0700.0090 VOM19980619.0730.0002 VOM19980403.0700.2182 VOM19980224.0700.1724 VOM19980619.0900.0007 VOM19980326.0700.0115 VOM19980311.0700.0640 VOM19980317.0700.2747 VOM19980327.0900.1545 VOM19980530.0730.0138 
50045.query,VOM19980505.0700.0344 VOM19980505.0700.0344 VOM19980319.0700.0352 VOM19980504.0700.0222 VOM19980529.0900.0243 VOM19980624.0700.0158 VOM19980301.0700.0136 VOM19980530.0730.0138 VOM19980529.0730.0209 VOM19980403.0700.0259 
50046.query,VOM19980604.0730.0077 VOM19980223.0900.2973 VOM19980304.0900.0509 VOM19980302.0700.1233 VOM19980520.0700.0476 VOM19980604.0700.0157 VOM19980630.0700.0457 VOM19980319.0900.2063 VOM19980319.0900.0259 VOM19980604.0700.0534 
50047.query,VOM19980616.0900.0137 VOM19980616.0730.0001 VOM19980505.0700.0438 VOM19980228.0700.1861 VOM19980501.0700.0556 VOM19980228.0700.0232 VOM19980314.0700.3190 VOM19980617.0900.0112 VOM19980616.0700.0045 VOM19980627.0700.0572 
50048.query,VOM19980316.0900.2774 VOM19980620.0730.0003 VOM19980225.0900.2949 VOM19980620.0700.0040 VOM19980403.0900.3300 VOM19980222.0700.0302 VOM19980403.0900.0124 VOM19980403.0900.2034 VOM19980222.0700.0448 VOM19980618.0730.0119 
50049.query,VOM19980314.0700.0275 VOM19980314.0700.0275 VOM19980504.0700.0268 VOM19980504.0730.0100 VOM19980624.0700.0288 VOM19980224.0700.0588 VOM19980630.0730.0136 VOM19980228.0700.0268 VOM19980316.0900.2774 VOM19980316.0900.3433 
50050.query,VOM19980526.0730.0065 VOM19980526.0900.0124 VOM19980413.0900.0139 VOM19980610.0730.0112 VOM19980609.0700.0256 VOM19980610.0700.0207 VOM19980603.0900.0203 VOM19980606.0730.0212 VOM19980606.0700.0460 VOM19980527.0700.0200 
50051.query,VOM19980616.0900.0137 VOM19980616.0730.0001 VOM19980505.0700.0438 VOM19980228.0700.1861 VOM19980501.0700.0556 VOM19980228.0700.0232 VOM19980314.0700.3190 VOM19980617.0900.0112 VOM19980616.0700.0045 VOM19980627.0700.0572 
50052.query,VOM19980305.0900.0814 VOM19980403.0900.0619 VOM19980317.0900.2819 VOM19980414.0900.0040 VOM19980407.0900.0263 VOM19980602.0900.0193 VOM19980226.0900.2027 VOM19980618.0900.0204 VOM19980302.0900.1412 VOM19980228.0700.0268 
50053.query,VOM19980616.0900.0137 VOM19980616.0730.0001 VOM19980505.0700.0438 VOM19980228.0700.1861 VOM19980501.0700.0556 VOM19980228.0700.0232 VOM19980314.0700.3190 VOM19980617.0900.0112 VOM19980616.0700.0045 VOM19980627.0700.0572 
50054.query,VOM19980605.0700.0560 VOM19980609.0700.0178 VOM19980609.0700.0178 VOM19980609.0900.0043 VOM19980224.0700.0648 VOM19980521.0700.0427 VOM19980611.0700.0516 VOM19980430.0900.0149 VOM19980626.0900.0007 VOM19980611.0700.0254 
50055.query,VOM19980610.0700.0551 VOM19980616.0730.0180 VOM19980616.0900.0100 VOM19980611.0700.0548 VOM19980316.0900.2774 VOM19980617.0700.0554 VOM19980319.0900.2245 VOM19980618.0700.0076 VOM19980618.0700.0076 VOM19980302.0700.1233 
50056.query,VOM19980618.0700.0114 VOM19980305.0900.1967 VOM19980305.0900.0295 VOM19980224.0900.0364 VOM19980626.0730.0070 VOM19980626.0900.0075 VOM19980626.0700.0131 VOM19980630.0700.0071 VOM19980630.0730.0043 VOM19980311.0700.0471 
50057.query,VOM19980605.0700.0560 VOM19980609.0700.0178 VOM19980609.0700.0178 VOM19980609.0900.0043 VOM19980224.0700.0648 VOM19980521.0700.0427 VOM19980611.0700.0516 VOM19980430.0900.0149 VOM19980626.0900.0007 VOM19980611.0700.0254 
50058.query,VOM19980305.0900.1736 VOM19980620.0700.0143 VOM19980620.0700.0093 VOM19980620.0730.0034 VOM19980403.0900.3340 VOM19980302.0700.1233 VOM19980604.0730.0002 VOM19980604.0900.0008 VOM19980316.0900.2076 VOM19980414.0900.0040 
50059.query,VOM19980302.0700.3552 VOM19980511.0730.0066 VOM19980404.0700.1061 VOM19980225.0900.2949 VOM19980511.0900.0039 VOM19980511.0700.0105 VOM19980620.0730.0003 VOM19980515.0900.0164 VOM19980428.0900.0080 VOM19980515.0730.0248 
50060.query,VOM19980507.0900.0191 VOM19980617.0900.0052 VOM19980602.0700.0511 VOM19980304.0900.0247 VOM19980304.0700.0238 VOM19980302.0900.0166 VOM19980326.0900.0371 VOM19980311.0700.2138 VOM19980501.0700.0090 VOM19980311.0700.0396 
50061.query,VOM19980302.0700.1233 VOM19980225.0900.0332 VOM19980305.0900.1736 VOM19980319.0900.2928 VOM19980228.0700.0327 VOM19980628.0730.0026 VOM19980228.0700.1944 VOM19980227.0900.3207 VOM19980302.0700.3070 VOM19980316.0900.1918 
50062.query,VOM19980625.0730.0090 VOM19980520.0730.0150 VOM19980325.0900.3063 VOM19980520.0700.0406 VOM19980222.0700.0302 VOM19980403.0900.3300 VOM19980326.0700.2359 VOM19980326.0900.2164 VOM19980403.0900.0124 VOM19980225.0900.2949 
50063.query,VOM19980505.0700.0344 VOM19980505.0700.0344 VOM19980319.0700.0352 VOM19980504.0700.0222 VOM19980301.0700.0136 VOM19980529.0900.0243 VOM19980624.0700.0158 VOM19980511.0900.0039 VOM19980530.0730.0138 VOM19980529.0730.0209 
50064.query,VOM19980522.0900.0158 VOM19980522.0730.0161 VOM19980611.0730.0120 VOM19980611.0700.0211 VOM19980611.0900.0216 VOM19980524.0700.0265 VOM19980524.0700.0265 VOM19980223.0900.0886 VOM19980305.0900.1736 VOM19980520.0900.0081 
50065.query,VOM19980302.0700.1233 VOM19980403.0900.3074 VOM19980504.0700.0268 VOM19980507.0700.0390 VOM19980507.0730.0143 VOM19980504.0730.0100 VOM19980319.0900.2928 VOM19980502.0700.0038 VOM19980326.0900.1939 VOM19980319.0900.1421 
50066.query,VOM19980522.0900.0158 VOM19980522.0730.0161 VOM19980611.0730.0120 VOM19980611.0700.0211 VOM19980611.0900.0216 VOM19980524.0700.0265 VOM19980524.0700.0265 VOM19980225.0900.0178 VOM19980624.0700.0434 VOM19980225.0700.0187 
50067.query,VOM19980410.0900.0207 VOM19980326.0900.0371 VOM19980620.0700.0175 VOM19980316.0900.1918 VOM19980316.0700.0649 VOM19980403.0900.0173 VOM19980502.0700.0438 VOM19980521.0900.0254 VOM19980302.0900.0368 VOM19980227.0900.0358 
50068.query,VOM19980630.0730.0136 VOM19980316.0900.3433 VOM19980610.0700.0551 VOM19980403.0900.3340 VOM19980503.0700.0342 VOM19980503.0700.0342 VOM19980311.0700.0471 VOM19980611.0700.0548 VOM19980224.0700.0588 VOM19980315.0700.1148 
50069.query,VOM19980630.0700.0071 VOM19980521.0730.0004 VOM19980521.0730.0004 VOM19980630.0730.0043 VOM19980617.0730.0161 VOM19980317.0900.0152 VOM19980317.0900.1955 VOM19980414.0900.0040 VOM19980617.0900.0112 VOM19980312.0900.1827 
50070.query,VOM19980326.0700.2359 VOM19980326.0900.2164 VOM19980325.0900.3506 VOM19980529.0730.0109 VOM19980529.0900.0113 VOM19980223.0700.3043 VOM19980226.0900.3196 VOM19980305.0900.1736 VOM19980326.0700.1085 VOM19980628.0730.0026 
50071.query,VOM19980302.0700.1233 VOM19980220.0700.0166 VOM19980220.0700.0166 VOM19980220.0700.0166 VOM19980220.0700.0166 VOM19980220.0700.0166 VOM19980220.0700.0166 VOM19980220.0700.0166 VOM19980220.0700.0166 VOM19980220.0700.0166 
50072.query,VOM19980228.0700.2873 VOM19980226.0900.0622 VOM19980403.0900.3340 VOM19980226.0900.3406 VOM19980305.0900.1736 VOM19980403.0900.2079 VOM19980610.0700.0551 VOM19980604.0730.0077 VOM19980625.0700.0480 VOM19980628.0730.0026 
50073.query,VOM19980220.0900.0330 VOM19980410.0900.0207 VOM19980403.0900.0173 VOM19980501.0900.0108 VOM19980326.0900.0371 VOM19980303.0700.1985 VOM19980609.0700.0520 VOM19980305.0900.2594 VOM19980501.0700.0379 VOM19980624.0700.0546 
50074.query,VOM19980610.0700.0551 VOM19980611.0700.0548 VOM19980617.0700.0554 VOM19980616.0700.0538 VOM19980618.0700.0187 VOM19980624.0700.0546 VOM19980303.0700.0561 VOM19980618.0700.0076 VOM19980618.0700.0076 VOM19980603.0700.0545 
50075.query,VOM19980403.0700.0129 VOM19980301.0700.0358 VOM19980504.0700.0268 VOM19980316.0900.1918 VOM19980630.0730.0136 VOM19980504.0730.0100 VOM19980624.0700.0288 VOM19980316.0900.3433 VOM19980404.0700.0676 VOM19980315.0700.2184 
50076.query,VOM19980220.0700.0166 VOM19980220.0700.0166 VOM19980220.0700.0166 VOM19980220.0700.0166 VOM19980220.0700.0166 VOM19980220.0700.0166 VOM19980220.0700.0166 VOM19980220.0700.0166 VOM19980220.0700.0166 VOM19980220.0700.0166 
50077.query,VOM19980302.0700.1233 VOM19980220.0700.0166 VOM19980220.0700.0166 VOM19980220.0700.0166 VOM19980220.0700.0166 VOM19980220.0700.0166 VOM19980220.0700.0166 VOM19980220.0700.0166 VOM19980220.0700.0166 VOM19980220.0700.0166 
50078.query,VOM19980302.0700.1233 VOM19980220.0700.0166 VOM19980220.0700.0166 VOM19980220.0700.0166 VOM19980220.0700.0166 VOM19980220.0700.0166 VOM19980220.0700.0166 VOM19980220.0700.0166 VOM19980220.0700.0166 VOM19980220.0700.0166 
50079.query,VOM19980614.0700.0431 VOM19980625.0730.0090 VOM19980413.0900.0139 VOM19980225.0900.0216 VOM19980225.0900.1919 VOM19980305.0900.1736 VOM19980312.0900.1968 VOM19980421.0900.0113 VOM19980609.0700.0256 VOM19980228.0700.0327 
50080.query,VOM19980302.0700.1233 VOM19980220.0700.0166 VOM19980220.0700.0166 VOM19980220.0700.0166 VOM19980220.0700.0166 VOM19980220.0700.0166 VOM19980220.0700.0166 VOM19980220.0700.0166 VOM19980220.0700.0166 VOM19980220.0700.0166 
50081.query,VOM19980403.0900.2034 VOM19980403.0700.0129 VOM19980403.0700.1169 VOM19980403.0900.0124 VOM19980403.0900.3300 VOM19980620.0730.0003 VOM19980403.0900.0431 VOM19980404.0700.1061 VOM19980515.0900.0164 VOM19980404.0700.0676 
50082.query,VOM19980220.0900.2583 VOM19980502.0730.0081 VOM19980504.0900.0157 VOM19980404.0700.0676 VOM19980511.0730.0066 VOM19980502.0700.0149 VOM19980220.0700.1159 VOM19980515.0900.0164 VOM19980511.0900.0039 VOM19980428.0900.0080 
50083.query,VOM19980503.0700.0160 VOM19980403.0900.2034 VOM19980403.0700.0129 VOM19980403.0900.3300 VOM19980403.0700.1169 VOM19980403.0900.0124 VOM19980505.0900.0005 VOM19980403.0900.0431 VOM19980421.0900.0012 VOM19980403.0900.1729 
50084.query,VOM19980410.0900.0241 VOM19980302.0700.1233 VOM19980220.0700.1159 VOM19980227.0900.1346 VOM19980604.0700.0157 VOM19980326.0700.2359 VOM19980326.0900.2164 VOM19980403.0900.3300 VOM19980316.0900.1861 VOM19980319.0900.2928 
50085.query,VOM19980616.0900.0137 VOM19980616.0730.0001 VOM19980505.0700.0438 VOM19980228.0700.1861 VOM19980501.0700.0556 VOM19980228.0700.0232 VOM19980314.0700.3190 VOM19980617.0900.0112 VOM19980616.0700.0045 VOM19980627.0700.0572 
50086.query,VOM19980616.0900.0137 VOM19980616.0730.0001 VOM19980505.0700.0438 VOM19980228.0700.1861 VOM19980501.0700.0556 VOM19980228.0700.0232 VOM19980314.0700.3190 VOM19980617.0900.0112 VOM19980616.0700.0045 VOM19980627.0700.0572 
50087.query,VOM19980604.0700.0157 VOM19980604.0730.0077 VOM19980526.0730.0266 VOM19980524.0730.0031 VOM19980220.0700.0620 VOM19980225.0900.0458 VOM19980524.0700.0192 VOM19980624.0900.0261 VOM19980520.0730.0150 VOM19980619.0700.0553 
50088.query,VOM19980302.0700.1233 VOM19980220.0700.0166 VOM19980220.0700.0166 VOM19980220.0700.0166 VOM19980220.0700.0166 VOM19980220.0700.0166 VOM19980220.0700.0166 VOM19980220.0700.0166 VOM19980220.0700.0166 VOM19980220.0700.0166 
50089.query,VOM19980505.0700.0384 VOM19980317.0900.0330 VOM19980509.0700.0447 VOM19980312.0900.1930 VOM19980325.0900.3063 VOM19980527.0900.0260 VOM19980226.0900.0322 VOM19980316.0700.2554 VOM19980613.0700.0546 VOM19980619.0730.0035 
50090.query,VOM19980504.0700.0222 VOM19980529.0900.0243 VOM19980505.0700.0344 VOM19980505.0700.0344 VOM19980529.0730.0209 VOM19980319.0700.0352 VOM19980319.0700.2536 VOM19980624.0700.0158 VOM19980501.0900.0067 VOM19980527.0700.0042 
50091.query,VOM19980619.0700.0553 VOM19980326.0900.0371 VOM19980624.0700.0546 VOM19980506.0700.0472 VOM19980403.0900.3340 VOM19980619.0900.0076 VOM19980602.0700.0547 VOM19980316.0700.0649 VOM19980403.0900.1941 VOM19980424.0900.0246 
50092.query,VOM19980507.0700.0521 VOM19980511.0700.0080 VOM19980511.0700.0080 VOM19980607.0700.0422 VOM19980520.0900.0042 VOM19980613.0730.0031 VOM19980225.0700.0701 VOM19980613.0700.0112 VOM19980413.0900.0234 VOM19980305.0900.1736 
50093.query,VOM19980319.0700.0352 VOM19980505.0700.0344 VOM19980505.0700.0344 VOM19980624.0700.0158 VOM19980504.0700.0222 VOM19980527.0700.0042 VOM19980301.0700.0136 VOM19980624.0900.0112 VOM19980624.0730.0079 VOM19980224.0700.0330 
50094.query,VOM19980624.0700.0288 VOM19980630.0730.0136 VOM19980316.0900.3433 VOM19980226.0900.0245 VOM19980503.0700.0342 VOM19980503.0700.0342 VOM19980614.0700.0392 VOM19980614.0730.0261 VOM19980506.0700.0208 VOM19980504.0700.0268 
50095.query,VOM19980511.0730.0066 VOM19980623.0900.0051 VOM19980302.0700.3552 VOM19980619.0900.0136 VOM19980225.0900.2949 VOM19980404.0700.1061 VOM19980511.0700.0105 VOM19980414.0900.0040 VOM19980304.0700.0774 VOM19980619.0900.0007 
50096.query,VOM19980225.0900.2949 VOM19980220.0700.1159 VOM19980317.0700.2420 VOM19980511.0730.0066 VOM19980511.0900.0039 VOM19980515.0900.0164 VOM19980620.0730.0003 VOM19980404.0700.1061 VOM19980428.0900.0080 VOM19980515.0730.0248 
50097.query,VOM19980220.0900.2053 VOM19980621.0730.0001 VOM19980620.0730.0003 VOM19980621.0700.0052 VOM19980511.0900.0039 VOM19980315.0700.2077 VOM19980627.0700.0360 VOM19980319.0900.1126 VOM19980222.0700.0302 VOM19980529.0730.0003 
50098.query,VOM19980522.0900.0158 VOM19980522.0730.0161 VOM19980524.0700.0265 VOM19980524.0700.0265 VOM19980611.0730.0120 VOM19980611.0700.0211 VOM19980611.0900.0216 VOM19980624.0700.0523 VOM19980305.0900.1736 VOM19980628.0730.0026 
50099.query,VOM19980319.0700.0352 VOM19980505.0700.0344 VOM19980505.0700.0344 VOM19980624.0700.0158 VOM19980504.0700.0222 VOM19980305.0700.0560 VOM19980527.0700.0042 VOM19980301.0700.0136 VOM19980624.0900.0112 VOM19980624.0730.0079 
50100.query,VOM19980626.0700.0131 VOM19980626.0730.0070 VOM19980626.0900.0075 VOM19980305.0900.1967 VOM19980305.0900.0295 VOM19980422.0900.0021 VOM19980618.0900.0008 VOM19980311.0700.0471 VOM19980530.0700.0318 VOM19980530.0700.0318 
50101.query,VOM19980502.0700.0038 VOM19980507.0700.0390 VOM19980507.0730.0143 VOM19980504.0700.0268 VOM19980504.0730.0100 VOM19980502.0730.0003 VOM19980524.0700.0112 VOM19980524.0730.0003 VOM19980225.0900.2949 VOM19980503.0730.0098 
50102.query,VOM19980315.0700.0180 VOM19980315.0700.1857 VOM19980521.0730.0004 VOM19980521.0730.0004 VOM19980302.0900.0510 VOM19980521.0700.0039 VOM19980301.0700.0136 VOM19980303.0900.1975 VOM19980303.0700.0393 VOM19980302.0700.2840 
